S.No,Name of the Headquarters Hospital,Sanctioned Bed Strength (in Numbers) as on 01.01.2018
1,"Arignar Anna Government Hospital of Indian Medicine, Chennai",275
2,"Varma Department, Chennai",35
3,"Government Siddha Medical College Hospital, Palayamkottai",350
4,"Government Homeopathy Medical College, Tirumangalam",50
5,"Government Ayurveda Medical College, Kottar, Nagercoil",100
6,"Government Yoga and Naturopathy Medical College, Chennai",50
7,"District Headquarters Hospital, Kancheepuram",25
8,"Medical College and Hospital, Vellore",25
9,"District Headquarters Hospital, Nagapattinam",25
10,"District Headquarters Hospital, Dindigul",25
11,"District Headquarters Hospital, Tiruppur",25
12,"District Headquarters Hospital, Erode",25
13,"District Headquarters Hospital, Cuddalore",15
14,"District Headquarters Hospital, Ramanathapuram",15
15,"Medical College and Hospital, Thoothukudi",15
16,"District Headquarters Hospital, Pennagram, Dharmapuri",15
17,"Medical College and Hospital, Tiruchirappalli",16
18,"Medical College and Hospital, Nagercoil",16
19,"District Headquarters Hospital, Virudhunagar",16
20,"District Headquarters Hospital, Sivaganga",16
21,"District Headquarters Hospital, Kumbakonam",16
22,"District Headquarters Hospital, Karur",16
23,"District Headquarters Hospital, Villupuram",16
24,"District Headquarters Hospital, Tiruvarur",16
25,"District Headquarters Hospital, Mettur Dam",16
26,"District Headquarters Hospital, Namakkal",16
27,"Taluk Hospital, Chidambaram",15
28,"Non-Taluk Hospital, Kadayanallur, Tirunelveli",15
Total,Total,1260
